,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,FC,ATTRIBUTE_Family,F_Specificty,Reported_comp_Species,Reported_comp_Genus,Reported_comp_Family
171,PF200_ID24719_1B4_pos_v7_IODA.mzML,Morus alba,Morus alba ECORCE,0.02484472,Moraceae,0.142857143,695,737,1163
172,PF200_V602173_1G4_pos_v7_IODA.mzML,Salvia officinalis,Salvia officinalis PARTIE AERIENNE,0.024590164,Lamiaceae,0.114754098,505,729,1856
173,PF200_T600024_2D5_pos_v7_IODA.mzML,Corallina officinalis,Corallina officinalis na,0.023809524,Corrallinaceae,0.952380952,21,21,0
174,PF200_V602697_2E3_pos_v7_IODA.mzML,Pinus sylvestris,Pinus sylvestris ECORCE,0.022357724,Pinaceae,0.382113821,376,405,405
175,PF200_V601227_1B12_pos_v7_IODA.mzML,Lavandula angustifolia,Lavandula angustifolia FLEUR,0.021276596,Lamiaceae,0.244680851,170,175,1856
176,PF200_V602685_2B3_pos_v7_IODA.mzML,Cistus monspeliensis,Cistus monspeliensis PARTIE AERIENNE,0.020491803,Cistaceae,0.12295082,130,130,130
177,PF200_ID24777_1A12_pos_v7_IODA.mzML,Epiphyllum oxypetalum,Epiphyllum oxypetalum PARTIE AERIENNE,0.020408163,Cactaceae,0.551020408,0,0,3
178,PF200_V601320_2C5_pos_v7_IODA.mzML,Althaea officinalis,Althaea officinalis FEUILLE,0.019607843,Malvaceae,0.019607843,67,67,354
179,PF200_V700055_2G8_pos_v7_IODA.mzML,Humulus lupulus,Humulus lupulus FLEUR,0.019230769,Cannabaceae,0.668269231,728,729,729
180,PF200_ID24721_1B3_pos_v7_IODA.mzML,Andrographis paniculata,Andrographis paniculata PARTIE AERIENNE,0.016949153,Acanthaceae,0.276836158,483,483,510
181,PF200_V601368_2B11_pos_v7_IODA.mzML,Eleutherococcus senticosus,Eleutherococcus senticosus RACINE,0.016666667,Araliaceae,0.141666667,368,435,672
182,PF200_QCMixUNIGE_1A2_pos_v7_C.mzML,,,0.014028056,,0.086172345,0,0,0
183,PF200_V602663_1D12_pos_v7_IODA.mzML,Hibiscus sabdariffa,Hibiscus sabdariffa CALICE,0.013888889,Malvaceae,0.305555556,36,36,354
184,PF200_ID27748_2H8_pos_v7_IODA.mzML,Coix lacryma-jobi,Coix lacryma-jobi GRAINE,0.013043478,Poaceae,0.091304348,19,32,335
185,PF200_V602263_2D2_pos_v7_IODA.mzML,Althaea officinalis,Althaea officinalis RACINE,0.012987013,Malvaceae,0.363636364,67,67,354
186,PF200_V601274_2C7_pos_v7_IODA.mzML,Artemisia absinthium,Artemisia absinthium SOMMITE,0.012814645,Asteraceae,0.748741419,215,439,3902
187,PF200_V602685_2H4_pos_v7_IODA.mzML,Cistus monspeliensis,Cistus monspeliensis PARTIE AERIENNE,0.012676056,Cistaceae,0.191549296,130,130,130
188,PF200_QCMixUNIGE_1A2_pos_v7_IODA_H_20211106090835.mzML,,,0.012345679,,0.148148148,0,0,0
189,PF200_QCMixUNIGE_1A2_pos_v7_IODA_H.mzML,,,0.011450382,,0.048091603,0,0,0
190,PF200_V601324_2A11_pos_v7_IODA.mzML,Aesculus hippocastanum,Aesculus hippocastanum FRUIT,0.011111111,Sapindaceae,0.1,234,234,234
191,PF200_V601214_2B10_pos_v7_IODA.mzML,Achillea millefolium,Achillea millefolium SOMMITE,0.010989011,Asteraceae,0.487912088,324,357,3902
192,PF200_QCMixUNIGE_2A2_pos_v7.mzML,,,0.010344828,,0.04137931,0,0,0
193,PF200_V601231_1B9_pos_v7_IODA.mzML,Juniperus communis,Juniperus communis FRUIT,0.010309278,Cupressaceae,0.422680412,389,433,433
194,PF200_QCMixUNIGE_1A2_pos_v7_A.mzML,,,0.00877193,,0.105263158,0,0,0
195,PF200_QCMixUNIGE_2A2_pos_v7_end.mzML,,,0.004366812,,0.065502183,0,0,0
