	row ID	row m/z	retention time (min)	LQ-01-61-78_pos.mzXML	annotation	status	MF (sirius)	adduct (sirius)	Compound name (sirius)
603	12753	485.3632	5.7	0.0004971218423104177	annotated	not interesting	C7H13NO3S	[M + H]+	Methionin
604	11592	455.3525	5.73	0.00016603599845364757	annotated	not interesting	C32H48O5	[M + Na]+	AKbetaBA
605	6029	310.7092	5.74	0.00010012071534514947	non anotated	not interesting	C22H22O10	[M + H]+	Isoswertisin
606	14552	567.3518	5.75	0.0011821425101380082	non anotated	not interesting	C30H46O6	[M - H2O + H]+	not available
607	10902	439.3582	5.75	0.00022100617934840637	annotated	not interesting	not available	not available	not available
608	12639	483.312	5.76	6.083838563050687e-05	non anotated	not interesting	C19H25NO3	[M + K]+	not available
609	4806	290.1959	5.76	0.0001295162733539856	non anotated	not interesting	C23H38O4	[M + H3N + H]+	d5 ester
610	13078	495.3116	5.77	0.00022660325239273705	non anotated	not interesting	C29H50O4	[M - H2O + H]+	(3S,5S,6S,8R,9S,10R,13R,14S,15R,17R)-17-[(E,2R,5R,6R)-7-hydroxy-4,5,6-trimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,6,15-triol
611	3348	255.2324	5.77	0.0001361220111072803	annotated	not interesting	C19H36O2	[M + H3N + H]+	9-Nonadecenoic acid
612	12580	481.3663	5.77	7.92562197239997e-05	non anotated	not interesting	not available	not available	not available
613	10361	425.3784	5.77	0.0009557762984163462	annotated	not interesting	not available	not available	not available
614	6100	311.7173	5.77	0.00013575400327558624	non anotated	not interesting	C28H42O10	[M - H2O + H]+	not available
615	3917	271.2428	5.78	0.0007012593524746441	non anotated	not interesting	not available	not available	not available
616	1762	207.1749	5.78	0.00016546416503120378	non anotated	not interesting	C21H38O4	[M - H2O + H]+	Emalsy MU
617	11885	463.2852	5.78	0.0014672029758651304	non anotated	not interesting	C32H56N2O4	[M + Na]+	not available
618	10254	423.3633	5.79	0.0003316070140388709	annotated	not interesting	not available	not available	not available
619	11019	441.3733	5.8	0.0007191580564785921	annotated	not interesting	not available	not available	not available
620	3169	250.0869	5.81	0.00022803527304002307	non anotated	not interesting	C28H44O2	[M - H4O2 + H]+	not available
621	13308	501.3574	5.82	0.00013221623695529279	non anotated	not interesting	C23H41NO4	[M + Na]+	not available
622	8941	381.3163	5.82	0.0001221732794932141	non anotated	not interesting	C24H26N2O13	[M + H]+	Gomphrenin-I
623	4867	291.2038	5.83	0.0009104187680374664	non anotated	not interesting	C30H38O12	[M + H]+	not available
624	3345	255.2322	5.83	0.0002706397522013342	annotated	not interesting	not available	not available	not available
625	6099	311.7173	5.83	0.0012392598178075493	non anotated	not interesting	C22H16O7	[M + H]+	not available
626	7148	330.2139	5.84	9.937263431442932e-05	non anotated	not interesting	C12H20O2	[M + H]+	Dodecadienoic acid
627	1294	194.1157	5.84	0.00016246689608564611	non anotated	not interesting	C13H16O7	[M + H3N + H]+	Helicide
628	8379	360.2937	5.84	0.00025037155981084746	non anotated	not interesting	C13H16O5	[M + H3N + H]+	not available
629	13155	497.2909	5.84	0.000448076830508647	non anotated	not interesting	C10H16O3	[M + Na]+	not available
630	6027	310.7091	5.84	0.0007240766857235609	non anotated	not interesting	C13H18N2O2S2	[M + Na]+	5-methyl-n-(4-methyl-5-oxodithiolo(3,4-d)pyrrol-6-yl)hexanamide
631	3522	261.1853	5.84	0.00019617261584500237	non anotated	not interesting	C10H10O3	[M + H]+	bmse010212
632	729	172.1337	5.84	0.00018777120953352233	non anotated	not interesting	C28H42O6	[M + Na]+	not available
633	5612	303.7287	5.84	0.00030162889940641417	non anotated	not interesting	C15H10O7	[M + H]+	Quertine
634	4378	282.2797	5.84	0.009832625897492328	annotated	not interesting	C18H30O	[M + Na]+	Linolenyl aldehyde
635	4808	290.1962	5.85	0.0003846688324538271	non anotated	not interesting	C21H20O9	[M + H]+	Bayin
636	1209	191.1798	5.85	0.00020588153499437212	annotated	not interesting	C26H43NO2	[M + Na]+	not available
637	5960	309.6996	5.86	0.00016054523627126143	non anotated	not interesting	C12H22O5	[M + Na]+	3-Hydroxydodecanedioate
638	11884	463.2851	5.87	0.0007685288614544592	non anotated	not interesting	C29H30O9	[M + H]+	not available
639	11168	444.3927	5.87	0.00012507770162257376	non anotated	not interesting	C13H20O2	[M - H2O + H]+	3-Oxo-7,8-dihydro-.alpha.-ionone
640	12703	485.2668	5.87	0.00035166270620682586	non anotated	not interesting	C29H38O8	[M + H]+	not available
641	9917	413.3797	5.87	0.00016569440727750103	non anotated	not interesting	C20H33N5O5	[M + Na]+	trans-4-(4-Amino-2,5-cyclohexadien-1-yl)-L-2-aminobutanoyl-L-valyl-L-glutamine
642	10362	425.3786	5.88	0.005842086182367631	annotated	not interesting	C29H48O7	[M - H2O + H]+	not available
643	11136	443.3887	5.88	0.003059456165789976	annotated	not interesting	not available	not available	not available
644	5525	302.7205	5.89	0.0002326626098451167	non anotated	not interesting	C14H20O4	[M - H2O + H]+	not available
645	1988	214.1805	5.89	8.182266463618652e-05	non anotated	not interesting	C10H16N2O4S	[M - H2O + H]+	biotin S-oxide
646	12501	479.3501	5.9	0.0001571176999380857	annotated	not interesting	C28H44O	[M + Na]+	Ergosta-5,24(28),25-trien-3-ol
647	11787	459.3831	5.9	0.0012846238753523626	annotated	not interesting	C23H30O12	[M - H4O2 + H]+	cypellocarpin A
648	11020	441.3733	5.91	0.004445056513151212	annotated	not interesting	not available	not available	not available
649	8704	371.3164	5.91	0.0003444527026455516	non anotated	not interesting	C18H30O4	[M + Na]+	not available
650	10255	423.3631	5.92	0.00011055014319399193	annotated	not interesting	C16H22O5	[M + H]+	not available
651	3621	263.2375	5.93	7.343996105687776e-05	non anotated	not interesting	C21H44O2	[M - H2O + H]+	henicosane-1,21-diol
652	11596	455.3527	5.93	0.00018752284945693619	annotated	not interesting	C29H34O8	[M - H4O2 + H]+	not available
653	4345	281.2481	5.93	0.00029954311668895737	annotated	not interesting	C13H20N2S2	[M + Na]+	not available
654	6205	313.2741	5.93	0.00012985251281918899	non anotated	not interesting	not available	not available	not available
655	580	163.1485	5.93	6.420160818713785e-05	non anotated	not interesting	C20H34O3	[M + H]+	15-oxo-11Z,13E-eicosadienoic acid
656	11683	457.368	5.94	0.0007314170630667329	annotated	not interesting	C29H32O7	[M + H3N + H]+	not available
657	7259	331.2849	5.94	0.0007758828582520904	non anotated	not interesting	C12H11N5	[M + H3N + H]+	Pro-Shear
658	2843	239.2372	5.94	5.2707565667143276e-05	non anotated	not interesting	not available	not available	not available
659	11850	461.3996	5.96	0.0004946033169683913	annotated	not interesting	C29H48N4O6	[M + H]+	Glidobactin C
660	11781	459.3828	5.96	0.0007553822450677156	annotated	not interesting	C29H38O15	[M + Na]+	not available
661	4172	277.2169	5.96	0.0005633232413358513	non anotated	not interesting	C19H26O6	[M + K]+	not available
662	2117	217.1955	5.96	0.00013233424868049778	non anotated	not interesting	C28H36O6	[M + H3N + H]+	Withacoagulin H
663	6030	310.7092	5.97	0.0006349564856878766	non anotated	not interesting	C30H34O10	[M - H4O2 + H]+	not available
664	3343	255.2321	5.97	0.00020260738423502685	annotated	not interesting	not available	not available	not available
665	14907	595.3816	5.97	0.0003777545575447725	non anotated	not interesting	not available	not available	not available
666	10468	427.3936	5.97	0.000324574882813324	non anotated	not interesting	not available	not available	not available
667	9160	391.2041	5.98	0.0006410576622120397	non anotated	not interesting	C10H6O2	[M + H3N + H]+	1,4-Naftochinon
668	11236	445.4042	5.99	0.0005314385443597555	non anotated	not interesting	C20H37NO2	[M + H]+	Linoleamide MEA
669	340	147.1169	5.99	0.00015375606820155027	non anotated	not interesting	not available	not available	not available
670	11135	443.3886	5.99	0.001752167116446503	annotated	not interesting	not available	not available	not available
671	12906	490.2957	5.99	0.0017510881561383616	non anotated	not interesting	C18H28O7	[M - H4O2 + H]+	not available
672	11903	463.4151	5.99	0.0002691892520453007	non anotated	not interesting	C30H48O4	[M + H]+	Maslinic acid
673	9285	395.368	6.0	0.00020890022208615403	non anotated	not interesting	C17H20N4O6	[M - H2O + H]+	Hyflavin
674	16022	927.5775	6.02	0.00010957320729293706	non anotated	not interesting	not available	not available	not available
675	1826	209.1534	6.02	0.00013800942731822283	non anotated	not interesting	C34H42O15	[M + Na]+	not available
676	89	121.1014	6.03	0.0001724475346539286	non anotated	not interesting	C25H28N2O8	[M - H4O2 + H]+	[(3S,6S,7R,8R)-8-benzyl-3-[(3-hydroxypyridine-2-carbonyl)amino]-6-methyl-4,9-dioxo-1,5-dioxonan-7-yl] 2-methylpropanoate
677	1502	201.0907	6.03	0.03080511785871628	non anotated	not interesting	C10H18O4	[M - H4O2 + H]+	sebacate
678	2866	241.1219	6.03	0.00026398419041474515	non anotated	not interesting	C33H58O8	[M + H]+	not available
679	6212	313.6678	6.03	0.0004083346407618737	non anotated	not interesting	C31H26O10	[M - H2O + H]+	not available
680	2931	243.1379	6.03	0.0006509840970469423	non anotated	not interesting	C26H34O9	[M + Na]+	not available
681	9557	405.2798	6.03	0.0005323831750278576	non anotated	not interesting	not available	not available	not available
682	1202	191.1796	6.03	0.00014062397546541242	annotated	not interesting	not available	not available	not available
683	4794	290.1951	6.03	0.0002153960124136268	non anotated	not interesting	C34H41NO16	[M + H]+	Evonine, O2-deacetyl-
684	11888	463.2866	6.03	0.0005221263412697365	non anotated	not interesting	C29H44O5	[M + H]+	not available
685	16074	951.5752	6.03	0.0010439562757401431	non anotated	not interesting	not available	not available	not available
686	4931	293.1541	6.03	0.0002144150556653322	non anotated	not interesting	C21H22O11	[M - H2O + H]+	not available
687	3225	251.2007	6.03	0.00014315029949920382	annotated	not interesting	C37H46O5	[M + H3N + H]+	not available
688	3390	257.154	6.03	0.0017115350846668897	non anotated	not interesting	C20H42O2	[M + H]+	1,20-Eicosanediol
689	16026	929.594	6.03	0.001485917236537244	non anotated	not interesting	not available	not available	not available
690	5490	302.1593	6.03	0.0002294378508002832	non anotated	not interesting	not available	not available	not available
691	2027	215.1064	6.03	0.003396714547026172	non anotated	not interesting	C38H40O10	[M + H]+	not available
692	1471	200.083	6.03	0.0003369024952840933	non anotated	not interesting	not available	not available	not available
693	3608	263.2009	6.04	0.003173380641850751	non anotated	not interesting	C40H70O10	[M + H3N + H]+	not available
694	1565	203.1794	6.04	0.0011269492753563182	annotated	not interesting	C9H12O4	[M + H]+	Antiarol
695	11452	453.3002	6.04	0.00026123128047782457	non anotated	not interesting	C32H60O8	[M + H3N + H]+	not available
696	8284	357.3005	6.04	0.0002027182330313825	annotated	not interesting	not available	not available	not available
697	13139	497.2892	6.04	0.0004207430375071218	non anotated	not interesting	C18H12O10	[M + H]+	Salazinic acid
698	12794	487.282	6.04	0.0025814520251698633	non anotated	not interesting	C36H59N3O4	[M - H4O2 + H]+	not available
699	10253	423.3629	6.04	0.0006825876455336834	annotated	not interesting	not available	not available	not available
700	14825	590.4261	6.05	0.00024435310310603976	non anotated	not interesting	C14H27NO11	[M - H4O2 + H]+	not available
701	12554	481.2951	6.05	0.0007023568205476628	non anotated	not interesting	C26H46O4	[M + K]+	not available
702	9003	383.3318	6.05	0.0002997554615027765	annotated	not interesting	C29H46O2	[M + H]+	not available
703	11018	441.3731	6.05	0.004401179264888947	annotated	not interesting	not available	not available	not available
704	14906	595.3817	6.06	0.0005432171684888491	non anotated	not interesting	C27H44O3	[M - H4O2 + H]+	Osteo D
705	12482	479.2789	6.07	0.0003455965277247648	non anotated	not interesting	C29H46O3	[M - H4O2 + H]+	not available
706	1759	207.1747	6.08	0.00020497886467870125	non anotated	not interesting	C18H26O4	[M + H3N + H]+	9,16-Dioxo-10,12,14-octadecatrienoic acid
707	4012	273.2583	6.09	0.00018155262031410144	annotated	not interesting	C27H42O17	[M + H]+	Kanokoside C
708	11795	459.3835	6.09	0.00021406770306436367	annotated	not interesting	C28H46O5	[M + Na]+	not available
709	9290	395.3682	6.09	0.000422047340448691	non anotated	not interesting	not available	not available	not available
710	6508	317.6991	6.1	0.00012039839614395036	non anotated	not interesting	C9H8O3	[M - H2O + H]+	coumarate
711	12314	473.3633	6.11	0.00044029158866131413	annotated	not interesting	C33H50O6	[M + Na]+	not available
712	9796	411.2907	6.11	0.00021715638058912356	annotated	not interesting	C6H5NO2	[M + H]+	bmse000133
