	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	FS	FC	LC	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	SC	CCs	CCg	CC	New_CC_in_sp	New_CC_in_genus	PR
12	LQ-01-61-50_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buxifolia	902	902	206	186	0.23	0.21	0.81292	0	329	6064	0	0	0	0	nothing in DB	nothing in DB	1.02292
15	LQ-01-61-47_pos.mzXML	Celastraceae	Maytenus	Maytenus inermis	700	700	155	142	0.22	0.2	0.81112	0	338	6064	0	0	0	0	nothing in DB	nothing in DB	1.01112
9	LQ-01-61-31_pos.mzXML	Celastraceae	Euonymus	Euonymus frigidus	1425	1425	329	316	0.23	0.22	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	1.01072
38	LQ-01-61-13_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1418	1418	212	188	0.15	0.13	0.87872	0	0	6064	0	0	0	0	nothing in DB	nothing in DB	1.00872
21	LQ-01-61-51_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia graciliramula	1126	1126	259	218	0.23	0.19	0.81292	0	329	6064	0	0	0	0	nothing in DB	nothing in DB	1.00292
13	LQ-01-61-32_pos.mzXML	Celastraceae	Euonymus	Euonymus frigidus	1261	1261	269	248	0.21	0.2	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.99072
17	LQ-01-61-21_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	728	728	173	146	0.24	0.2	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.99072
26	LQ-01-61-48_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buxifolia	1068	1068	200	169	0.19	0.16	0.81292	0	329	6064	0	0	0	0	nothing in DB	nothing in DB	0.97292
55	LQ-01-61-61_pos.mzXML	Celastraceae	Mystroxylon	Mystroxylon aethiopicum	794	794	76	70	0.1	0.09	0.87872	0	0	6064	0	0	0	0	nothing in DB	nothing in DB	0.96872
34	LQ-01-61-45_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buxifolia	1320	1320	229	201	0.17	0.15	0.81292	0	329	6064	0	0	0	0	nothing in DB	nothing in DB	0.96292
25	LQ-01-61-33_pos.mzXML	Celastraceae	Euonymus	Euonymus frigidus	1349	1349	260	227	0.19	0.17	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.96072
54	LQ-01-61-11_pos.mzXML	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	1467	1467	163	139	0.11	0.09	0.86592	0	64	6064	0	0	0	0	nothing in DB	nothing in DB	0.95592
32	LQ-01-61-17_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	1393	1393	214	204	0.15	0.15	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.94072
35	LQ-01-61-19_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	1331	1331	215	203	0.16	0.15	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.94072
39	LQ-01-61-34_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1419	1419	200	188	0.14	0.13	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.92072
42	LQ-01-61-24_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1460	1460	201	182	0.14	0.12	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.91072
64	LQ-01-61-46_pos.mzXML	Celastraceae	Maytenus	Maytenus inermis	886	886	74	66	0.08	0.07	0.81112	0	338	6064	0	0	0	0	nothing in DB	nothing in DB	0.88112
62	LQ-01-61-35_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1535	1535	151	123	0.1	0.08	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.87072
57	LQ-01-61-69_pos.mzXML	Celastraceae	Salacia	Salacia cochinchinensis	1061	1061	109	97	0.1	0.09	0.77592	0	514	6064	0	0	0	0	nothing in DB	nothing in DB	0.86592
69	LQ-01-61-25_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1304	1304	81	79	0.06	0.06	0.79072	0	440	6064	0	0	0	0	nothing in DB	nothing in DB	0.85072
10	LQ-01-61-74_pos.mzXML	Celastraceae	Tripterygium	Tripterygium wilfordii	1388	1388	333	307	0.24	0.22	-0.40288	1011	1353	6064	0	0.5	0.5	1	{'Open-chain polyketides'}	{'Open-chain polyketides'}	0.81712
22	LQ-01-61-75_pos.mzXML	Celastraceae	Tripterygium	Tripterygium wilfordii	1435	1435	271	237	0.19	0.17	-0.40288	1011	1353	6064	0	0.5	0.5	1	{'Other Octadecanoids'}	{'Other Octadecanoids'}	0.76712
