	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	Total_SNA_GQMFF	MF_prediction_ratio	FS	FC	PS	LC	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	CCs	CCg	CC	New_CC_in_sp	New_CC_in_genus	SC
47	LQ-01-61-53_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia senegalensis	1414	68.0	9.0	7.0	0.0	0.0	0.13	0.1	1.87	0.77	43.0	329.0	6064	0.5	0.5	1.0	{'Other Octadecanoids'}	{'Other Octadecanoids'}	0
48	LQ-01-61-43_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buchananii	1177	57.0	7.0	5.0	0.0	0.0	0.12	0.09		0.8	15.0	329.0	6064						0
49	LQ-01-61-20_pos.mzXML	Celastraceae	Euonymus	Euonymus maackii	2052	75.0	9.0	7.0	10.0	0.13	0.12	0.09	2.88	0.79	2.0	440.0	6064	0.5	0.5	1.0	{'Tripeptides'}	{'Tripeptides'}	1
50	LQ-01-61-46_pos.mzXML	Celastraceae	Maytenus	Maytenus inermis	1074	69.0	6.0	6.0	4.0	0.06	0.09	0.09	0.9	0.81	0.0	338.0	6064	0.0	0.0	0.0	nothing in DB	nothing in DB	0
51	LQ-01-61-35_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1848	35.0	3.0	3.0	0.0	0.0	0.09	0.09		0.79	0.0	440.0	6064						0
52	LQ-01-61-52_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia senegalensis	1245	22.0	2.0	2.0	0.0	0.0	0.09	0.09		0.77	43.0	329.0	6064						0
53	LQ-01-61-25_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1599	23.0	2.0	2.0	0.0	0.0	0.09	0.09	0.88	0.79	0.0	440.0	6064	0.0	0.0	0.0	nothing in DB	nothing in DB	0
54	LQ-01-61-30_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	1433	63.0	5.0	5.0	0.0	0.0	0.08	0.08	1.7799999999999998	0.7	92.0	440.0	6064	0.5	0.5	1.0	{'Tripeptides'}	{'Tripeptides'}	0
55	LQ-01-61-26_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1424	40.0	3.0	3.0	0.0	0.0	0.08	0.08	0.87	0.79	0.0	440.0	6064	0.0	0.0	0.0	nothing in DB	nothing in DB	0
56	LQ-01-61-05_pos.mzXML	Celastraceae	Celastrus	Celastrus orbiculatus	1023	24.0	2.0	2.0	0.0	0.0	0.08	0.08		0.52	212.0	732.0	6064						0
57	LQ-01-61-04_pos.mzXML	Celastraceae	Catha	Catha edulis	1636	40.0	4.0	3.0	0.0	0.0	0.1	0.08		0.73	126.0	126.0	6064						0
58	LQ-01-61-21_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	860	36.0	5.0	3.0	0.0	0.0	0.14	0.08		0.79	0.0	440.0	6064						0
59	LQ-01-61-65_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1393	45.0	3.0	3.0	0.0	0.0	0.07	0.07		0.46	313.0	514.0	6064						0
60	LQ-01-61-58_pos.mzXML	Celastraceae	Microtropis	Microtropis triflora	1888	33.0	4.0	2.0	0.0	0.0	0.12	0.06		0.82	14.0	211.0	6064						0
61	LQ-01-61-48_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buxifolia	1260	65.0	7.0	4.0	0.0	0.0	0.11	0.06		0.81	0.0	329.0	6064						0
62	LQ-01-61-50_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buxifolia	1056	38.0	2.0	2.0	0.0	0.0	0.05	0.05		0.81	0.0	329.0	6064						0
