	annotation network number	LQ-01-61-01_pos.mzXML	retention time (min)	row m/z	adduct (ion identity)	row ID	neutral mass (ion identity)	Compound name (gnps)	adduct (gnps)	MF (sirius)	adduct (sirius)	Compound name (sirius)	NPC#pathway	NPC#superclass	NPC#class	annotation	status
15946	3546.0		6.75	609.4134	['[M+NH4]+', '[M+Na]+']	[14985, 15035]	586.4241	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
13371	3551.0		6.76	481.366	['[M+NH4]+', '[M+Na]+']	[12410, 12578]	458.3765	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
13539	3551.0		6.76	481.366	['[M+NH4]+', '[M+Na]+']	[12410, 12578]	458.3765	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15748	14787x		6.76	586.4314	['not available']	[14787]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15751	3549.0		6.76	587.4093	['[M-CO2+2H]2+', '[M+Na]+']	[3539, 14790]	564.4193	['Spectral Match to Pinolenic acid from NIST14', 'not available']	['M+H-H2O', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
14402	3547.0		6.76	507.3672	['[M-H2O+H]+', '[2M+K]+']	[2111, 13441]	234.2003	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16056	15095x		6.76	615.4601	['not available']	[15095]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16544	15583x		6.76	713.4964	['not available']	[15583]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14133	13172x		6.76	497.3614	['not available']	[13172]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15871	14910x		6.76	595.4337	['not available']	[14910]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14880	13919x		6.76	528.311	['not available']	[13919]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14320	13359x		6.76	503.3732	['not available']	[13359]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14874	3548.0		6.76	527.4097	['[2M+Na]+']	[13913]	252.2097	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13876	12915x		6.77	490.3896	['not available']	[12915]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14220	13259x		6.77	500.4105	['not available']	[13259]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14041	3552.0		6.78	495.3237	['[M+NH4]+', '[M+NH4]+', '[M+Na]+', '[M+Na]+', '[M+Na]+', '[M+K]+']	[12327, 12330, 12500, 12505, 12506, 13080]	456.3605	['not available', 'not available', 'not available', 'NCGC00385334-01_C30H48O3_3-Hydroxyurs-12-en-23-oic acid', 'not available', 'not available']	['not available', 'not available', 'not available', 'M+Na', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	annotated	not interesting
16039	15078x		6.78	613.4252	['not available']	[15078]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13291	3552.0		6.78	495.3237	['[M+NH4]+', '[M+NH4]+', '[M+Na]+', '[M+Na]+', '[M+Na]+', '[M+K]+']	[12327, 12330, 12500, 12505, 12506, 13080]	456.3605	['not available', 'not available', 'not available', 'NCGC00385334-01_C30H48O3_3-Hydroxyurs-12-en-23-oic acid', 'not available', 'not available']	['not available', 'not available', 'not available', 'M+Na', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	annotated	not interesting
13288	3552.0		6.78	495.3237	['[M+NH4]+', '[M+NH4]+', '[M+Na]+', '[M+Na]+', '[M+Na]+', '[M+K]+']	[12327, 12330, 12500, 12505, 12506, 13080]	456.3605	['not available', 'not available', 'not available', 'NCGC00385334-01_C30H48O3_3-Hydroxyurs-12-en-23-oic acid', 'not available', 'not available']	['not available', 'not available', 'not available', 'M+Na', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	annotated	not interesting
