	sample_id	anomaly_IF	anomaly_LOF	anomaly_OCSVM	SC
1415	VGF157_F07	1	-1	1	1
1416	VGF157_F08	1	1	1	0
1417	VGF157_F09	1	1	1	0
1418	VGF157_F10	1	-1	1	1
1419	VGF157_F11	1	1	1	0
1420	VGF157_G02	1	1	1	0
1421	VGF157_G03	1	1	1	0
1422	VGF157_G04	1	-1	1	1
1423	VGF157_G05	1	1	1	0
1424	VGF157_G06	1	1	1	0
1425	VGF157_G07	1	1	1	0
1426	VGF157_G08	1	1	1	0
1427	VGF157_G09	1	-1	1	1
1428	VGF157_G10	1	1	1	0
1429	VGF157_G11	1	1	1	0
1430	VGF157_H02	1	1	1	0
1431	VGF157_H03	1	1	1	0
1432	VGF157_H04	1	1	1	0
1433	VGF157_H05	1	1	1	0
1434	VGF157_H06	1	1	1	0
1435	VGF157_H07	1	1	1	0
1436	VGF157_H08	1	1	1	0
1437	VGF157_H09	1	1	1	0
1438	VGF157_H10	1	1	1	0
1439	VGF157_H11	1	1	1	0
1440	VGF158_A02	1	1	1	0
1441	VGF158_A03	1	1	1	0
1442	VGF158_A04	1	1	1	0
1443	VGF158_A05	1	-1	1	1
1444	VGF158_A06	1	-1	1	1
1445	VGF158_A07	1	1	1	0
1446	VGF158_A08	1	-1	1	1
1447	VGF158_A09	1	1	1	0
1448	VGF158_A10	1	1	1	0
1449	VGF158_A11	1	-1	1	1
1450	VGF158_B02	1	1	1	0
1451	VGF158_B03	1	1	1	0
1452	VGF158_B04	1	1	1	0
1453	VGF158_B05	1	1	1	0
1454	VGF158_B06	1	1	1	0
1455	VGF158_B07	1	1	1	0
1456	VGF158_B08	1	1	1	0
1457	VGF158_B09	1	1	1	0
1458	VGF158_B10	1	1	-1	1
1459	VGF158_B11	1	1	1	0
1460	VGF158_C02	1	1	1	0
1461	VGF158_C03	1	1	1	0
1462	VGF158_C04	1	1	1	0
1463	VGF158_C05	1	1	1	0
1464	VGF158_C06	1	1	1	0
1465	VGF158_C07	1	1	1	0
1466	VGF158_C08	1	1	1	0
1467	VGF158_C09	1	1	1	0
1468	VGF158_C10	1	1	1	0
1469	VGF158_C11	1	1	1	0
1470	VGF158_D02	1	1	1	0
1471	VGF158_D03	1	1	1	0
1472	VGF158_D04	1	1	1	0
1473	VGF158_D05	1	1	1	0
1474	VGF158_D06	1	1	1	0
1475	VGF158_D07	1	1	1	0
1476	VGF158_D08	1	-1	1	1
1477	VGF158_D09	1	-1	1	1
1478	VGF158_D10	1	-1	1	1
1479	VGF158_D11	1	1	1	0
1480	VGF158_E02	1	1	1	0
1481	VGF158_E03	1	1	1	0
1482	VGF158_E04	1	1	1	0
1483	VGF158_E05	1	1	1	0
1484	VGF158_E06	1	1	1	0
1485	VGF158_E07	1	1	1	0
1486	VGF158_E08	1	1	1	0
1487	VGF158_E09	1	-1	1	1
1488	VGF158_E10	1	1	1	0
1489	VGF158_E11	1	1	1	0
1490	VGF158_F02	1	1	1	0
1491	VGF158_F03	1	-1	1	1
1492	VGF158_F04	1	1	1	0
1493	VGF158_F05	1	1	1	0
1494	VGF158_F06	1	1	1	0
1495	VGF158_F07	1	1	1	0
1496	VGF158_F08	1	-1	1	1
1497	VGF158_F09	1	1	1	0
1498	VGF158_F10	1	1	1	0
1499	VGF158_F11	1	1	1	0
1500	VGF158_G02	1	1	1	0
1501	VGF158_G03	1	-1	1	1
1502	VGF158_G04	1	1	1	0
1503	VGF158_G05	1	1	1	0
1504	VGF158_G06	1	1	1	0
1505	VGF158_G07	1	1	1	0
1506	VGF158_G08	1	1	1	0
1507	VGF158_G09	1	-1	1	1
1508	VGF158_G10	1	1	1	0
1509	VGF158_G11	1	1	1	0
1510	VGF158_H02	1	1	1	0
1511	VGF158_H03	1	1	1	0
1512	VGF158_H04	1	-1	1	1
1513	VGF158_H05	1	-1	1	1
1514	VGF158_H06	1	-1	1	1
1515	VGF158_H07	1	1	1	0
1516	VGF158_H08	1	1	1	0
1517	VGF158_H09	1	1	1	0
1518	VGF158_H10	1	1	1	0
1519	VGF158_H11	1	1	1	0
1520	VGF159_A02	1	1	1	0
1521	VGF159_A03	1	1	1	0
1522	VGF159_A04	1	1	1	0
1523	VGF159_A05	1	1	1	0
1524	VGF159_A06	1	1	1	0
1525	VGF159_A07	1	1	1	0
1526	VGF159_A08	1	1	1	0
1527	VGF159_A09	1	-1	1	1
1528	VGF159_A10	1	-1	1	1
1529	VGF159_A11	1	1	1	0
1530	VGF159_B02	1	1	1	0
1531	VGF159_B03	1	1	1	0
1532	VGF159_B04	1	1	1	0
1533	VGF159_B05	1	1	1	0
1534	VGF159_B06	1	-1	1	1
1535	VGF159_B07	1	1	1	0
1536	VGF159_B08	1	-1	1	1
1537	VGF159_B09	1	1	1	0
1538	VGF159_B10	1	1	1	0
1539	VGF159_B11	1	1	1	0
1540	VGF159_C02	1	1	1	0
1541	VGF159_C03	1	1	1	0
1542	VGF159_C04	1	-1	1	1
1543	VGF159_C05	1	1	1	0
1544	VGF159_C06	1	-1	1	1
1545	VGF159_C07	1	1	1	0
1546	VGF159_C08	1	1	1	0
