shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_pathway	CAN_superclass	CAN_classe
887	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/840_Celastraceae_pos_SIRIUS_887	C20H26O	[M-H4O2+H]+	Terpenoids	Steroids	Pregnane steroids
9253	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8410_Celastraceae_pos_SIRIUS_9253	C42H40O12	[M+H]+	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids
9254	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8411_Celastraceae_pos_SIRIUS_9254	C32H48O8	[M-H2O+H]+	Polyketides	Polyethers	
9255	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8412_Celastraceae_pos_SIRIUS_9255	C29H43NO16	[M+H3N+H]+	Shikimates and Phenylpropanoids		
9256	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8413_Celastraceae_pos_SIRIUS_9256	C29H48O4	[M+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
9257	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8414_Celastraceae_pos_SIRIUS_9257	C18H32O3	[M-H2O+H]+	Fatty acids	Octadecanoids	Other Octadecanoids
9258	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8415_Celastraceae_pos_SIRIUS_9258	C39H41NO12	[M-H4O2+H]+	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids
9259	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8416_Celastraceae_pos_SIRIUS_9259	C15H15NO4	[M+K]+			
9260	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8417_Celastraceae_pos_SIRIUS_9260	C20H32O5	[M-H2O+H]+	Fatty acids	Eicosanoids	Prostaglandins
9261	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8418_Celastraceae_pos_SIRIUS_9261	C18H11NO3	[M-H4O2+H]+	Alkaloids	Tryptophan alkaloids	
888	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/841_Celastraceae_pos_SIRIUS_888	C18H35NO5	[M+H3N+H]+	Fatty acids	Octadecanoids	Other Octadecanoids
9263	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8420_Celastraceae_pos_SIRIUS_9263	C24H42O7	[M+H]+	Terpenoids		
9264	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8421_Celastraceae_pos_SIRIUS_9264	C22H19N3O4	[M+H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
9265	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8422_Celastraceae_pos_SIRIUS_9265	C12H18O2	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids
