name,directoryName,pathway,pathwayProbability,superclass,superclassProbability,class,classProbability,ClassyFirePrediction,ClassyFirePredictionProbability
9550,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8663_Celastraceae_pos_SIRIUS_9550,Amino acids and Peptides,0.9760534763336182,Amino acid glycosides,0.9894812107086182,Cyanogenic glycosides,0.9896175861358643,Hexoses,0.937641978263855
9551,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8664_Celastraceae_pos_SIRIUS_9551,Amino acids and Peptides,0.7980265617370605,Amino acid glycosides,0.9878374338150024,Cyanogenic glycosides,0.9757985472679138,Disaccharides,0.8403652906417847
9552,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8665_Celastraceae_pos_SIRIUS_9552,Fatty acids,0.925398588180542,Fatty acyls,0.40859219431877136,N/A,0.0,Hydrocarbon derivatives,0.9979128837585449
9553,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8666_Celastraceae_pos_SIRIUS_9553,N/A,0.0,N/A,0.0,N/A,0.0,Hydroxy acids and derivatives,0.7010801434516907
9555,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8667_Celastraceae_pos_SIRIUS_9555,Alkaloids,0.9691677093505859,Pseudoalkaloids (transamidation),0.4199976623058319,Purine alkaloids,0.33635133504867554,Azoles,0.7668926119804382
9556,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8668_Celastraceae_pos_SIRIUS_9556,Alkaloids,0.42384299635887146,N/A,0.0,N/A,0.0,Alcohols and polyols,0.5677842497825623
9558,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8669_Celastraceae_pos_SIRIUS_9558,Terpenoids,0.9968753457069397,Triterpenoids,0.9670701026916504,"Lanostane, Tirucallane and Euphane triterpenoids",0.6083584427833557,Triterpenoids,0.9620855450630188
913,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/866_Celastraceae_pos_SIRIUS_913,Terpenoids,0.9605686068534851,N/A,0.0,N/A,0.0,Cyclic alcohols and derivatives,0.7362357378005981
9559,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8670_Celastraceae_pos_SIRIUS_9559,Terpenoids,0.9993530511856079,Triterpenoids,0.9950124621391296,Dammarane and Protostane triterpenoids,0.6397350430488586,Triterpenoids,0.9975160360336304
9560,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8671_Celastraceae_pos_SIRIUS_9560,Terpenoids,0.9709846377372742,Triterpenoids,0.5284632444381714,N/A,0.0,Triterpenoids,0.5694625973701477
9561,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8672_Celastraceae_pos_SIRIUS_9561,Terpenoids,0.950523316860199,Steroids,0.6405876874923706,Cholane steroids,0.7155938744544983,"Hydroxy bile acids, alcohols and derivatives",0.9233357310295105
9562,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8673_Celastraceae_pos_SIRIUS_9562,Terpenoids,0.948952853679657,Steroids,0.8545482754707336,Cholane steroids,0.938211977481842,"Trihydroxy bile acids, alcohols and derivatives",0.6940525770187378
9563,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8674_Celastraceae_pos_SIRIUS_9563,Terpenoids,0.9988077878952026,Triterpenoids,0.9861081838607788,N/A,0.0,Triterpenoids,0.9926122426986694
9564,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8675_Celastraceae_pos_SIRIUS_9564,Terpenoids,0.9878813028335571,Steroids,0.7118178606033325,Cholane steroids,0.7394329905509949,"Dihydroxy bile acids, alcohols and derivatives",0.7189978957176208
9566,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8676_Celastraceae_pos_SIRIUS_9566,Terpenoids,0.8193697929382324,N/A,0.0,N/A,0.0,Hydroxysteroids,0.5849655866622925
9567,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8677_Celastraceae_pos_SIRIUS_9567,Fatty acids,0.7325952053070068,Fatty Acids and Conjugates,0.6641319394111633,Hydroxy fatty acids,0.5092286467552185,Fatty Acyls,0.732804536819458
9568,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8678_Celastraceae_pos_SIRIUS_9568,Terpenoids,0.9905004501342773,Triterpenoids,0.9730308055877686,"Lanostane, Tirucallane and Euphane triterpenoids",0.4131911098957062,Triterpenoids,0.888219952583313
9569,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8679_Celastraceae_pos_SIRIUS_9569,Terpenoids,0.9825351238250732,Steroids,0.7559216022491455,N/A,0.0,"Hydroxy bile acids, alcohols and derivatives",0.7918236255645752
914,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/867_Celastraceae_pos_SIRIUS_914,Fatty acids,0.9998707175254822,Glycerolipids,0.9936172366142273,Monoacylglycerols,0.5795915722846985,Lineolic acids and derivatives,0.8846869468688965
9570,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8680_Celastraceae_pos_SIRIUS_9570,Terpenoids,0.9687358736991882,Triterpenoids,0.23981964588165283,"Lanostane, Tirucallane and Euphane triterpenoids",0.45539888739585876,"Hydroxy bile acids, alcohols and derivatives",0.8304070234298706
9572,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8681_Celastraceae_pos_SIRIUS_9572,Terpenoids,0.9203475117683411,Steroids,0.8083078265190125,Cholane steroids,0.967012882232666,"Dihydroxy bile acids, alcohols and derivatives",0.6726714372634888
9573,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8682_Celastraceae_pos_SIRIUS_9573,Terpenoids,0.797796905040741,Steroids,0.8568459749221802,Cholane steroids,0.9683966636657715,"Trihydroxy bile acids, alcohols and derivatives",0.6029233932495117
9574,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8683_Celastraceae_pos_SIRIUS_9574,Alkaloids,0.019094543531537056,Nicotinic acid alkaloids,0.36639970541000366,Pyridine alkaloids,0.3652263581752777,Sesquiterpenoids,0.6575368642807007
9576,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8685_Celastraceae_pos_SIRIUS_9576,Terpenoids,0.9976412057876587,Triterpenoids,0.99273681640625,N/A,0.0,Triterpenoids,0.9897922277450562
9577,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8686_Celastraceae_pos_SIRIUS_9577,Terpenoids,0.9556145071983337,N/A,0.0,N/A,0.0,Steroids and steroid derivatives,0.5146058797836304
9578,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8687_Celastraceae_pos_SIRIUS_9578,Terpenoids,0.46225613355636597,Steroids,0.682777464389801,Vitamin D2 and derivatives,0.9657694101333618,Steroids and steroid derivatives,0.6691605448722839
9579,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8688_Celastraceae_pos_SIRIUS_9579,Terpenoids,0.9378550052642822,N/A,0.0,N/A,0.0,Hydroxysteroids,0.7966259121894836
9580,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8689_Celastraceae_pos_SIRIUS_9580,Terpenoids,0.931092381477356,Triterpenoids,0.9439513683319092,N/A,0.0,Triterpenoids,0.8765015602111816
915,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/868_Celastraceae_pos_SIRIUS_915,Shikimates and Phenylpropanoids,0.8813488483428955,N/A,0.0,N/A,0.0,Anisoles,0.6693497896194458
9581,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8690_Celastraceae_pos_SIRIUS_9581,Fatty acids,0.6916061043739319,Fatty Acids and Conjugates,0.6759905219078064,Hydroxy fatty acids,0.5676077604293823,Fatty Acyls,0.6887828707695007
9582,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8691_Celastraceae_pos_SIRIUS_9582,Terpenoids,0.978650689125061,Steroids,0.9374216794967651,Ergostane steroids,0.33510822057724,Steroids and steroid derivatives,0.9632015228271484
9583,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8692_Celastraceae_pos_SIRIUS_9583,Terpenoids,0.9882417917251587,Steroids,0.990371584892273,Cholane steroids,0.9958556890487671,"Dihydroxy bile acids, alcohols and derivatives",0.8278898596763611
9584,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8693_Celastraceae_pos_SIRIUS_9584,Terpenoids,0.9780565500259399,Steroids,0.9710896015167236,Cholane steroids,0.992335855960846,"Dihydroxy bile acids, alcohols and derivatives",0.8401445746421814
